clean_answer,varnum,clean_answer_binned,abbr,Group,clean_group,ES,ESdescription,Title,FirstAuthor,SourcePublication,PublicationYear
Land use change,1,Land use and land cover change,Driver,Human,Human,Food,Food and feed,An integrated ecosystem service assessment in an artificial desert oasis of northwestern China,Liang,JOURNAL OF LAND USE SCIENCE,2017
Management Practices,2,Management/restoration,Driver,Human,Human,Food,Food and feed,An integrated ecosystem service assessment in an artificial desert oasis of northwestern China,Liang,JOURNAL OF LAND USE SCIENCE,2017
Management Practices,1,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Trait-based approaches for guiding the restoration of degraded agricultural landscapes in East Africa,Lohbeck,JOURNAL OF APPLIED ECOLOGY,2018
Climate,1,Climate,Driver,Environmental,Environmental,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Improving the application of vertebrate trait-based frameworks to the study of ecosystem services,Luck,JOURNAL OF ANIMAL ECOLOGY,2012
Land use change,2,Land use and land cover change,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Improving the application of vertebrate trait-based frameworks to the study of ecosystem services,Luck,JOURNAL OF ANIMAL ECOLOGY,2012
Management Practices,1,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Luis Peri,JOURNAL FOR NATURE CONSERVATION,2016
silviculture practices (as the type of management),2,Management/restoration,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Luis Peri,JOURNAL FOR NATURE CONSERVATION,2016
grazing,3,Exploitation/harvest,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Luis Peri,JOURNAL FOR NATURE CONSERVATION,2016
Management Practices,1,Management/restoration,Driver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Luis Peri,JOURNAL FOR NATURE CONSERVATION,2016
silviculture practices (as the type of management),2,Management/restoration,OtherDriver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Luis Peri,JOURNAL FOR NATURE CONSERVATION,2016
grazing,3,Exploitation/harvest,OtherDriver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Luis Peri,JOURNAL FOR NATURE CONSERVATION,2016
Management Practices,1,Management/restoration,Driver,Human,Human,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Luis Peri,JOURNAL FOR NATURE CONSERVATION,2016
Management Practices,1,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Luis Peri,JOURNAL FOR NATURE CONSERVATION,2016
silviculture practices (as the type of management),2,Management/restoration,OtherDriver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Luis Peri,JOURNAL FOR NATURE CONSERVATION,2016
grazing,3,Exploitation/harvest,OtherDriver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Luis Peri,JOURNAL FOR NATURE CONSERVATION,2016
Management Practices,1,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Green roof plant species diversity improves ecosystem multifunctionality,Lundholm,JOURNAL OF APPLIED ECOLOGY,2015
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Green roof plant species diversity improves ecosystem multifunctionality,Lundholm,JOURNAL OF APPLIED ECOLOGY,2015
Management Practices,1,Management/restoration,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Green roof plant species diversity improves ecosystem multifunctionality,Lundholm,JOURNAL OF APPLIED ECOLOGY,2015
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,Green roof plant species diversity improves ecosystem multifunctionality,Lundholm,JOURNAL OF APPLIED ECOLOGY,2015
Management Practices,1,Management/restoration,Driver,Human,Human,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Green roof plant species diversity improves ecosystem multifunctionality,Lundholm,JOURNAL OF APPLIED ECOLOGY,2015
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Green roof plant species diversity improves ecosystem multifunctionality,Lundholm,JOURNAL OF APPLIED ECOLOGY,2015
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Understanding the nursery habitat and provision service of a NTFP in a Colombian oak forest: A case of a nomadic vine,Luz Caleno-Ruiz,GLOBAL ECOLOGY AND CONSERVATION,2018
Land use change,1,Land use and land cover change,Driver,Human,Human,Food,Food and feed,Land-use trade-offs between tree biodiversity and crop production in the Atlantic Forest,Marcilio-Silva,CONSERVATION BIOLOGY,2018
Forest type (dense; mixed; seasonal),2,Biotic characteristics of the plot,OtherDriver,Biotic,Biotic,Food,Food and feed,Land-use trade-offs between tree biodiversity and crop production in the Atlantic Forest,Marcilio-Silva,CONSERVATION BIOLOGY,2018
Land use change,1,Land use and land cover change,Driver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Land-use trade-offs between tree biodiversity and crop production in the Atlantic Forest,Marcilio-Silva,CONSERVATION BIOLOGY,2018
Management Practices,1,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]","Earthworm functional traits, landscape degradation and ecosystem services in the Brazilian Amazon deforestation arc",Marichal,EUROPEAN JOURNAL OF SOIL BIOLOGY,2017
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]","Earthworm functional traits, landscape degradation and ecosystem services in the Brazilian Amazon deforestation arc",Marichal,EUROPEAN JOURNAL OF SOIL BIOLOGY,2017
Land use change,1,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,"Evaluation of salt marsh restoration by means of self-regulating tidal gate - Avon estuary, South Devon, UK",Masselink,ECOLOGICAL ENGINEERING,2017
Management Practices,2,Management/restoration,Driver,Human,Human,HabCreate,Habitat creation and maintenance,"Evaluation of salt marsh restoration by means of self-regulating tidal gate - Avon estuary, South Devon, UK",Masselink,ECOLOGICAL ENGINEERING,2017
Land use change,1,Land use and land cover change,Driver,Human,Human,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]","Evaluation of salt marsh restoration by means of self-regulating tidal gate - Avon estuary, South Devon, UK",Masselink,ECOLOGICAL ENGINEERING,2017
Management Practices,2,Management/restoration,Driver,Human,Human,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]","Evaluation of salt marsh restoration by means of self-regulating tidal gate - Avon estuary, South Devon, UK",Masselink,ECOLOGICAL ENGINEERING,2017
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Both rare and common species support ecosystem services in scavenger communities,Mateo-Tomas,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2017
Land use change,1,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Can carbon credits fund riparian forest restoration?,Matzek,RESTORATION ECOLOGY,2015
Time since restoration,2,Timing/seasonality,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Can carbon credits fund riparian forest restoration?,Matzek,RESTORATION ECOLOGY,2015
Land use change,1,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Incomplete recovery of ecosystem processes after two decades of riparian forest restoration,Matzek,RESTORATION ECOLOGY,2016
Management Practices,2,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Incomplete recovery of ecosystem processes after two decades of riparian forest restoration,Matzek,RESTORATION ECOLOGY,2016
Land use change,1,Land use and land cover change,Driver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Realizing ecosystem services: wetland hydrologic function along a gradient of ecosystem condition,McLaughlin,ECOLOGICAL APPLICATIONS,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land,McPhearson,ECOSYSTEM SERVICES,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land,McPhearson,ECOSYSTEM SERVICES,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land,McPhearson,ECOSYSTEM SERVICES,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,Food,Food and feed,Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land,McPhearson,ECOSYSTEM SERVICES,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land,McPhearson,ECOSYSTEM SERVICES,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land,McPhearson,ECOSYSTEM SERVICES,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Population growth,2,Population growth and density,Driver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Management Practices,3,Management/restoration,Driver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Slope,4,Topography and position,OtherDriver,Environmental,Environmental,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Income,5,Characteristics of human population,OtherDriver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
education,6,Characteristics of human population,OtherDriver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
wealth,7,Characteristics of human population,OtherDriver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Land cover,8,Land cover,OtherDriver,Biotic,Environmental,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Land use change,1,Land use and land cover change,Driver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Population growth,2,Population growth and density,Driver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Management Practices,3,Management/restoration,Driver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Slope,4,Topography and position,OtherDriver,Environmental,Environmental,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Income,5,Characteristics of human population,OtherDriver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
education,6,Characteristics of human population,OtherDriver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
wealth,7,Characteristics of human population,OtherDriver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Land cover,8,Land cover,OtherDriver,Biotic,Environmental,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Land use change,1,Land use and land cover change,Driver,Human,Human,Food,Food and feed,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Population growth,2,Population growth and density,Driver,Human,Human,Food,Food and feed,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Management Practices,3,Management/restoration,Driver,Human,Human,Food,Food and feed,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Slope,4,Topography and position,OtherDriver,Environmental,Environmental,Food,Food and feed,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Income,5,Characteristics of human population,OtherDriver,Human,Human,Food,Food and feed,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
education,6,Characteristics of human population,OtherDriver,Human,Human,Food,Food and feed,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
wealth,7,Characteristics of human population,OtherDriver,Human,Human,Food,Food and feed,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Land cover,8,Land cover,OtherDriver,Biotic,Environmental,Food,Food and feed,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Land use change,1,Land use and land cover change,Driver,Human,Human,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Population growth,2,Population growth and density,Driver,Human,Human,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Management Practices,3,Management/restoration,Driver,Human,Human,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Slope,4,Topography and position,OtherDriver,Environmental,Environmental,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Income,5,Characteristics of human population,OtherDriver,Human,Human,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
education,6,Characteristics of human population,OtherDriver,Human,Human,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
wealth,7,Characteristics of human population,OtherDriver,Human,Human,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Land cover,8,Land cover,OtherDriver,Biotic,Environmental,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Land use change,1,Land use and land cover change,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Population growth,2,Population growth and density,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Management Practices,3,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Slope,4,Topography and position,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Income,5,Characteristics of human population,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
education,6,Characteristics of human population,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
wealth,7,Characteristics of human population,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Land cover,8,Land cover,OtherDriver,Biotic,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Land use change,1,Land use and land cover change,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Population growth,2,Population growth and density,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Management Practices,3,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Slope,4,Topography and position,OtherDriver,Environmental,Environmental,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Income,5,Characteristics of human population,OtherDriver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
education,6,Characteristics of human population,OtherDriver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
wealth,7,Characteristics of human population,OtherDriver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Land cover,8,Land cover,OtherDriver,Biotic,Environmental,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016
Climate,1,Climate,Driver,Environmental,Environmental,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Urban warming reduces aboveground carbon storage,Meineke,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2016
Land use change,2,Land use and land cover change,Driver,Human,Human,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Urban warming reduces aboveground carbon storage,Meineke,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2016
Climate,1,Climate,Driver,Environmental,Environmental,OceanReg,"Regulation of ocean acidification [e.g. Regulation, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and seawater pH]",Urban warming reduces aboveground carbon storage,Meineke,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2016
Land use change,2,Land use and land cover change,Driver,Human,Human,OceanReg,"Regulation of ocean acidification [e.g. Regulation, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and seawater pH]",Urban warming reduces aboveground carbon storage,Meineke,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2016
Extreme Events,1,Extreme events,Driver,Environmental,Environmental,Food,Food and feed,Regional-scale scenario modeling for coral reefs: a decision support tool to inform management of a complex system,Melbourne-Thomas,ECOLOGICAL APPLICATIONS,2011
Management Practices,2,Management/restoration,Driver,Human,Human,Food,Food and feed,Regional-scale scenario modeling for coral reefs: a decision support tool to inform management of a complex system,Melbourne-Thomas,ECOLOGICAL APPLICATIONS,2011
Climate,1,Climate,Driver,Environmental,Environmental,Food,Food and feed,Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain,Mengiste Taye,FUNGAL ECOLOGY,2016
Rainfall,2,Climate,OtherDriver,Environmental,Environmental,Food,Food and feed,Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain,Mengiste Taye,FUNGAL ECOLOGY,2016
Temperature,3,Climate,OtherDriver,Environmental,Environmental,Food,Food and feed,Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain,Mengiste Taye,FUNGAL ECOLOGY,2016
Soil Organic Matter,4,Soil physiochemical characteristics,OtherDriver,Environmental,Environmental,Food,Food and feed,Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain,Mengiste Taye,FUNGAL ECOLOGY,2016
Soil texture,5,Soil physiochemical characteristics,OtherDriver,Environmental,Environmental,Food,Food and feed,Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain,Mengiste Taye,FUNGAL ECOLOGY,2016
Soil,6,Soil physiochemical characteristics,OtherDriver,Environmental,Environmental,Food,Food and feed,Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain,Mengiste Taye,FUNGAL ECOLOGY,2016
